rp,return_value,ci_low,ci_high
66699.19663030114,2755.115990891525,2247.7696315495036,3203.3368047985377
68260.71834272392,2763.0975401763235,2248.4387180261356,3222.032897732637
69858.79746785249,2771.051329779472,2249.156479688509,3239.8463029200498
71494.28986597576,2778.9775917558,2251.7273525102005,3254.801604760029
73168.07143427191,2786.8765529659154,2253.1297292308545,3269.7860711211206
74881.03857590031,2794.748435237664,2253.652130429581,3286.6436829121217
76634.10868007463,2802.593455521708,2254.161155276367,3305.3652147738853
78428.22061337682,2810.4118260414853,2254.7400798681288,3324.1603354582967
80264.33522257174,2818.2037544377713,2255.2221467548993,3342.9257577168264
82143.43584919423,2825.9694439080854,2255.6918885966993,3361.741747822825
84066.52885618317,2833.709093341147,2256.801504324173,3375.813987080262
86034.64416684509,2841.422897446589,2257.763985283194,3388.756332677678
