rp,return_value,ci_low,ci_high
27682.866303920666,2407.6430233167007,2056.587444671089,2708.4209587094574
28330.961018393242,2417.369827627965,2065.6131878165074,2720.8712253477343
28994.228538828753,2427.058790903514,2074.9954605153034,2729.5764695665644
29673.024081888667,2436.710060359629,2084.3965916969805,2744.1705669789167
30367.711180354607,2446.323782639868,2090.201462094164,2755.2592135816753
31078.66187782014,2455.9001038172837,2096.6402121596343,2766.3094323132023
31806.25692794119,2465.4391693966527,2108.0366202706464,2774.5413945542673
32550.885998350564,2474.9411243166774,2114.789029889521,2783.6511919429317
33312.9478793467,2484.4061129521965,2123.269806404988,2793.6149929608937
34092.850697468144,2493.8342791163723,2128.472985622498,2806.3481887467847
34891.012134067736,2503.225766062879,2140.15472481408,2818.1773117441
35707.859649004626,2512.5807164880775,2147.0272996827944,2825.639328009941
36543.83070957255,2521.8992725331855,2157.3558418875327,2834.0485519426898
37399.373024788016,2531.1815757864383,2162.6302164797094,2844.250799696338
38274.94478516315,2540.427767285232,2166.3416765855945,2851.1004805084035
39171.014908092606,2549.6379875182793,2172.2114186406866,2866.2750719594724
40088.063288984646,2558.812376427734,2174.8722381259286,2878.046229988979
41026.581058271906,2567.9510734113223,2182.7803092515223,2890.7346719833754
41987.070844439055,2577.054217324457,2189.6769394054513,2899.70759216602
42970.04704320844,2586.1219464823525,2191.6999988968137,2909.299722016657
43976.036093027215,2595.154398662121,2191.845182691544,2919.9471078056526
45005.57675700497,2604.1517111048693,2193.826646276228,2943.8052322981393
46059.22041145104,2613.114020517783,2203.6276631052115,2950.5359192500005
47137.53134116729,2622.041463076205,2213.583125409974,2966.125656714989
48241.08704165374,2630.934174425701,2217.0352258138446,2976.45967821705
49370.478528390035,2639.7922896841246,2218.4986174394885,2984.7632573941855
50526.3106533568,2648.6159434436686,2219.931864213113,2998.3465922211567
51709.202428967554,2657.4052697729094,2221.3088500027584,3016.4920502194323
52919.78735958436,2666.1604022188453,2227.485088462575,3035.0213781153943
54158.71378079476,2674.8814738089254,2228.92640636006,3053.782530021968
55426.645206631074,2683.568617053069,2230.0113007628934,3068.002848628878
56724.26068491978,2692.2219639456807,2231.070069945086,3077.7842164040876
58052.25516094896,2700.841645967658,2233.5204771458434,3088.2301956216893
59411.3398496504,2709.427794088385,2241.600434207083,3106.52720360812
60802.24261649427,2717.980538767723,2247.035284825896,3126.175358264851
62225.708367302315,2726.500009957996,2247.7603745023794,3145.9234720869426
63682.49944718586,2734.986337105963,2248.4659518072217,3165.446475944706
65173.3960488242,2743.439649154784,2249.1525418239853,3179.486140274726
66699.19663030114,2751.8600745459808,2249.820655506077,3200.9128945512684
68260.71834272392,2760.2477412213884,2250.4707900570033,3222.7409207957235
69858.79746785249,2768.6027766250963,2251.1034293003786,3241.86361089214
71494.28986597576,2776.925307705389,2252.7551947472157,3263.4917755166603
73168.07143427191,2785.2154609166737,2254.033666084317,3286.8068397121715
74881.03857590031,2793.4733622214003,2255.6294913254005,3307.3901343689886
76634.10868007463,2801.6991370919736,2257.113450193558,3328.0784787309417
78428.22061337682,2809.892910512665,2257.5894353855924,3348.872410030355
80264.33522257174,2818.054806981509,2258.0519877340716,3369.646340035337
82143.43584919423,2826.1849505121922,2258.511329126552,3389.404545751904
84066.52885618317,2834.283464635942,2259.185684308963,3404.179282196749
86034.64416684509,2842.3504724034005,2259.6048018542183,3420.56745888601
88048.83581643464,2850.3860963864945,2260.0120459404843,3444.856763018663
90110.18251665018,2858.3904586803005,2260.4514877368233,3475.393739680558
92219.78823334322,2866.363680904896,2261.1654171750597,3497.010183092704
94378.7827777539,2874.30588420721,2261.53078342385,3527.237082670514
96588.32241158708,2882.217189262863,2261.8857324214005,3556.6675434892522
98849.59046625586,2890.0977162780005,2262.2305611825927,3590.1767821588346
101163.7979766207,2897.9475849911205,2262.565558253868,3613.801567178791
103532.18432956615,2905.76691467489,2262.891003954671,3637.4681614383658
105956.01792776148,2913.5558241379604,2263.207170612023,3661.2401641314955
108436.59686896109,2921.3144317267725,2263.514322788396,3683.4929224190837
110975.2496412072,2929.042855327349,2263.812717503097,3702.2354664511763
113573.33583431052,2936.7412123670983,2264.1026044473374,3721.023885095264
116232.24686798519,2944.4096198165826,2264.384226193171,3744.9325551410175
118953.40673703207,2952.048194191308,2264.6578183964734,3774.890443943459
121738.27277396621,2959.657051553488,2264.923609994137,3802.9533245091566
124588.33642950082,2967.2363075138105,2265.2305890489924,3831.6389764476535
127505.12407130128,2974.786077233194,2267.1093902841912,3858.442819366031
130490.19780144015,2982.306475424533,2267.3139722181827,3890.059638069549
133545.15629298973,2989.797616354447,2267.5124620809233,3921.97380460432
136671.63564620074,2997.2596138450153,2267.7050412930143,3949.244899630649
139871.31026472387,3004.692581275501,2267.891885872103,3977.3290147309012
143145.89375234785,3012.096631584081,2268.0731665938,4013.275065098993
146497.1398307285,3019.4718772695596,2268.2490491478025,4046.2868849712404
149926.8432786047,3026.8184303930752,2268.4196942893627,4077.8305969054463
153436.84089300132,3034.1364025798052,2268.585257986256,4102.952304476636
157029.01247293776,3041.425905020663,2268.7458915613565,4129.329355707447
160705.28182616385,3048.6870484739848,2268.9017418309827,4161.880597296811
164467.61779946627,3055.919943267217,2269.0529512391086,4194.714751921191
168318.0353330955,3063.1246992985843,2269.199657987588,4227.834278479526
172258.59653987875,3070.3014260387718,2269.34199616249,4261.241657242048
176291.4118095948,3077.4502325325725,2269.480095856682,4294.939390036011
180418.64093920717,3084.571227400561,2269.614083288755,4328.930000433077
